Timepoint,Usage
2025-09-01,102.1000
2025-09-02,57.2000
2025-09-03,166.2000
2025-09-04,173.3000
2025-09-05,174.0000
2025-09-06,144.0000
2025-09-07,99.3000
2025-09-08,206.3000
2025-09-09,196.3000
2025-09-10,179.4000
2025-09-11,177.7000
2025-09-12,180.1000
2025-09-13,152.1000
2025-09-14,97.4000
2025-09-15,196.7000
2025-09-16,187.4000
2025-09-17,198.4000
2025-09-18,181.7000
2025-09-19,191.9000
2025-09-20,156.4000
2025-09-21,99.3000
2025-09-22,208.4000
2025-09-23,207.5000
2025-09-24,205.8000
2025-09-25,190.6000
2025-09-26,216.6000
2025-09-27,181.3000
2025-09-28,99.2000
2025-09-29,212.5000
2025-09-30,216.7000
2025-10-01,223.7000
2025-10-02,205.2000
2025-10-03,202.4000
2025-10-04,179.6000
2025-10-05,118.6000
2025-10-06,200.9000
2025-10-07,190.3000
2025-10-08,191.0000
2025-10-09,199.2000
2025-10-10,210.4000
2025-10-11,180.7000
2025-10-12,121.4000
2025-10-13,204.3000
2025-10-14,195.5000
2025-10-15,193.3000
2025-10-16,193.9000
2025-10-17,187.5000
2025-10-18,166.0000
2025-10-19,97.0000
2025-10-20,163.6000
